split,comparison,score_key,target_key,n,spearman,pearson,auc,top_bottom_gap,score_mean,target_mean
train,DAGIG_v31_total -> supported_answer_soft,DAGIG_v31_total,supported_answer_soft,1832,0.0061933692082519485,-0.03834143996580737,,0.0014934105882326437,0.059026767577430125,0.0749831878744728
train,DAGIG_v31_total -> supported_answer_hard_v3,DAGIG_v31_total,supported_answer_hard,1832,-0.051729956536668564,-0.09884808223709379,0.40554860241969126,-0.0240174672489083,0.059026767577430125,0.025655021834061136
train,search_evidence_only -> evidence_support,DAGIG_v31_search_evidence_only,evidence_support,1832,0.6103075494650801,0.5389985386403396,0.8773408045380651,0.6026200873362446,0.10017586908620855,0.6861353711790393
train,R_answer_v31 -> answer_correct_score,R_answer_v31,answer_correct_score,1832,0.04537284625796246,0.09507353014275884,,-0.004435859636505057,0.0015829694323144098,0.0866007336762893
train,R_answer_v31 -> supported_answer_soft,R_answer_v31,supported_answer_soft,1832,0.07703981606645292,0.13362441050382656,,-0.007319787846614717,0.0015829694323144098,0.0749831878744728
train,answer F1 -> answer_correct_score,answer_f1_v2,answer_correct_score,1832,0.13445426633863572,0.47024206655050166,,0.14607887869050934,0.12976338033780582,0.0866007336762893
dev,DAGIG_v31_total -> supported_answer_soft,DAGIG_v31_total,supported_answer_soft,392,-0.12573512123433875,-0.11013379543334437,,-0.04310298337890629,0.06972842640991746,0.07280075425020119
dev,DAGIG_v31_total -> supported_answer_hard_v3,DAGIG_v31_total,supported_answer_hard,392,0.011215978455684793,-0.019655358191099426,0.5322164948453608,0.0,0.06972842640991746,0.01020408163265306
dev,search_evidence_only -> evidence_support,DAGIG_v31_search_evidence_only,evidence_support,392,0.6121688413576996,0.5751977440855109,0.8806379799335183,0.653061224489796,0.1285752511966869,0.6913265306122449
dev,R_answer_v31 -> answer_correct_score,R_answer_v31,answer_correct_score,392,-0.12625157852257088,-0.10809424251739978,,-0.08059863619214402,-0.002295918367346939,0.09340841361087086
dev,R_answer_v31 -> supported_answer_soft,R_answer_v31,supported_answer_soft,392,-0.13708948947458982,-0.05903377764954389,,-0.0685964342165933,-0.002295918367346939,0.07280075425020119
dev,answer F1 -> answer_correct_score,answer_f1_v2,answer_correct_score,392,0.16563060496752205,0.36873295096225145,,0.11584779889236606,0.15502737928856547,0.09340841361087086
test,DAGIG_v31_total -> supported_answer_soft,DAGIG_v31_total,supported_answer_soft,256,0.003240970832097115,-0.07367993139317924,,-0.036815073648894345,0.035436002867737716,0.058743505079616606
test,DAGIG_v31_total -> supported_answer_hard_v3,DAGIG_v31_total,supported_answer_hard,256,-0.07416274012249714,-0.0607440872548803,0.3273809523809524,-0.03125,0.035436002867737716,0.015625
test,search_evidence_only -> evidence_support,DAGIG_v31_search_evidence_only,evidence_support,256,0.6492248314934386,0.6115275039950382,0.8927218614718615,0.703125,0.057759763353799676,0.65625
test,R_answer_v31 -> answer_correct_score,R_answer_v31,answer_correct_score,256,-0.13341928602888084,-0.1962558922697267,,-0.11195319675562741,0.0,0.08950558688161572
test,R_answer_v31 -> supported_answer_soft,R_answer_v31,supported_answer_soft,256,-0.1504320593278863,-0.2350166279893255,,-0.023110965742233286,0.0,0.058743505079616606
test,answer F1 -> answer_correct_score,answer_f1_v2,answer_correct_score,256,0.326425481499672,0.5348217118285726,,0.2319113232942221,0.1389399653050798,0.08950558688161572
