split,comparison,score_key,target_key,n,spearman,spearman_ci_low,spearman_ci_high,pearson,auc,auc_ci_low,auc_ci_high,top_bottom_gap,score_mean,target_mean
train,R_search_v3 -> R@5,R_search_v3,retrieval_r5,1796,0.7631934051500647,0.7433212119122874,0.7808002801477847,0.7541240885656251,0.9473248205440349,0.9356506102818705,0.9560267857142857,0.8530066815144766,0.31388192589281505,0.6169265033407573
train,R_search_v3 -> MRR,R_search_v3,retrieval_mrr,1796,0.7361993379956936,0.7149606173774573,0.7547881831262,0.7506056985322316,,,,0.741713939931468,0.31388192589281505,0.50695201069603
train,R_evidence -> evidence_support,R_evidence,evidence_support,1832,0.24608581445704153,0.20434714190355488,0.28639764640886956,0.29283004991310985,0.6252139324132683,0.6025152694811733,0.6494829818058402,0.24017467248908297,-0.04273335117332906,0.6861353711790393
train,R_answer_v31 -> supported_answer_v2,R_answer_v31,supported_answer_v2,1832,0.3800848801635152,0.18427715463064132,0.5207938274035592,0.4195373347223317,0.6298640010296452,0.5555446811714221,0.7152396851896017,0.013100436681222707,0.0015829694323144098,0.0212882096069869
train,DAGIG_v31_total -> evidence_support,DAGIG_v31_total,evidence_support,1832,0.5413670705321422,0.5095460641890662,0.5700642370793293,0.5001988743246071,0.8367631697277853,0.8194882431374209,0.8540346614030432,0.572052401746725,0.059026767577430125,0.6861353711790393
train,DAGIG_v31_total -> supported_answer_v2,DAGIG_v31_total,supported_answer_v2,1832,-0.04869924573508563,-0.10279734754163608,0.004825144403844891,-0.09092304157269364,0.4026055743847155,0.2860778618787772,0.5146915623934953,-0.015283842794759826,0.059026767577430125,0.0212882096069869
train,DAGIG_v31_total -> answer F1,DAGIG_v31_total,answer_f1_v2,1832,0.08374907609898506,0.03922538088370433,0.1202794579606784,0.0031750566214863466,,,,0.01570476212043445,0.059026767577430125,0.12976338033780582
train,search_evidence_only -> evidence_support,DAGIG_v31_search_evidence_only,evidence_support,1832,0.6103075494650801,0.5832866956781432,0.6349158713559121,0.5389985386403396,0.8773408045380651,0.8603918987771739,0.8902695706470275,0.6026200873362446,0.10017586908620855,0.6861353711790393
train,no_answer -> R@5,DAGIG_v31_no_answer,retrieval_r5,1796,0.6235680522079708,0.5934848569725292,0.6514604327193635,0.5728017873285418,0.8702840336663589,0.8555195317430266,0.8848777221912755,0.7126948775055679,0.08700482220928947,0.6169265033407573
train,no_answer -> evidence_support,DAGIG_v31_no_answer,evidence_support,1832,0.5386169024251571,0.5084665117065201,0.5658680774008759,0.5049437467848658,0.8350524021998548,0.8189534391876415,0.851915726097513,0.5786026200873362,0.07724388187364013,0.6861353711790393
dev,R_search_v3 -> R@5,R_search_v3,retrieval_r5,383,0.746699344286606,0.6925305456234115,0.7857670681467717,0.7371288368474452,0.9401150627615062,0.9086566812124072,0.963548951048951,0.8315789473684211,0.3444878960457919,0.6240208877284595
dev,R_search_v3 -> MRR,R_search_v3,retrieval_mrr,383,0.7426481698820159,0.7034985240134138,0.7789069767604813,0.7571686938042153,,,,0.7749406634746687,0.3444878960457919,0.5196097629855679
dev,R_evidence -> evidence_support,R_evidence,evidence_support,392,0.30375624799267154,0.19243971805340912,0.38408273024570694,0.36130633125143474,0.6569790491293342,0.6126875649977715,0.703818154806121,0.2959183673469388,-0.014406647216515913,0.6913265306122449
dev,R_answer_v31 -> supported_answer_v2,R_answer_v31,supported_answer_v2,392,0.31699729374826147,0.00630512344966716,0.6204222186192859,0.40061364704996333,0.6709844559585493,0.5051413881748072,0.8762886597938144,0.030612244897959183,-0.002295918367346939,0.015306122448979591
dev,DAGIG_v31_total -> evidence_support,DAGIG_v31_total,evidence_support,392,0.5170792923170325,0.4381160086401634,0.5738533145270841,0.4986871625593431,0.8231221981641303,0.7757635996465985,0.8627128596594246,0.5612244897959184,0.06972842640991746,0.6913265306122449
dev,DAGIG_v31_total -> supported_answer_v2,DAGIG_v31_total,supported_answer_v2,392,-0.0012854103219733146,-0.1270776704440646,0.11395603814845938,-0.058438947801050446,0.49697754749568224,0.017902813299232736,0.7965494791666666,0.0,0.06972842640991746,0.015306122448979591
dev,DAGIG_v31_total -> answer F1,DAGIG_v31_total,answer_f1_v2,392,0.06674727156451679,-0.04769258931538981,0.15646007111765978,-0.035891213346354665,,,,0.010173634713187385,0.06972842640991746,0.15502737928856547
dev,search_evidence_only -> evidence_support,DAGIG_v31_search_evidence_only,evidence_support,392,0.6121688413576996,0.5489335693607824,0.6633641482389122,0.5751977440855109,0.8806379799335183,0.8433060109289617,0.910281656522258,0.653061224489796,0.1285752511966869,0.6913265306122449
dev,no_answer -> R@5,DAGIG_v31_no_answer,retrieval_r5,383,0.5794307181861399,0.5107325738804959,0.6404017989850666,0.543648704039857,0.8453190376569037,0.8041632267956127,0.878687127024723,0.6631578947368422,0.10154213399557036,0.6240208877284595
dev,no_answer -> evidence_support,DAGIG_v31_no_answer,evidence_support,392,0.5145415227169179,0.4217800537913594,0.5884034660783611,0.4989679059597147,0.8215363971821537,0.778844975490196,0.8599941724941725,0.5714285714285714,0.08938644053942099,0.6913265306122449
test,R_search_v3 -> R@5,R_search_v3,retrieval_r5,251,0.7477682641431521,0.6788013262070798,0.8049428482772013,0.754632382646003,0.9302959501557633,0.8906586021505376,0.9639557579700716,0.8387096774193549,0.2661311068929288,0.5737051792828686
test,R_search_v3 -> MRR,R_search_v3,retrieval_mrr,251,0.7279623053440674,0.6806079277729523,0.7611331141823746,0.7506229480823858,,,,0.6587220581999087,0.2661311068929288,0.47597079702168293
test,R_evidence -> evidence_support,R_evidence,evidence_support,256,0.40718328252698804,0.31120941680615655,0.5134580091523738,0.4030860355871979,0.7049512987012987,0.6394154294803818,0.765218878248974,0.453125,-0.08779651950382693,0.65625
test,R_answer_v31 -> supported_answer_v2,R_answer_v31,supported_answer_v2,256,0.4106616018714763,0.003921568627450981,1.0000000000000002,0.4106616018714763,0.6679841897233202,0.5,1.0,0.015625,0.0,0.01171875
test,DAGIG_v31_total -> evidence_support,DAGIG_v31_total,evidence_support,256,0.5614770104919772,0.49044609308756754,0.6364318793095576,0.539881239772338,0.8412472943722944,0.7921411921411922,0.8811188811188811,0.65625,0.035436002867737716,0.65625
test,DAGIG_v31_total -> supported_answer_v2,DAGIG_v31_total,supported_answer_v2,256,-0.1397423904427223,-0.21942392720827905,-0.0555083433793382,-0.12580292048696992,0.1251646903820817,0.047619047619047616,0.2440944881889764,-0.046875,0.035436002867737716,0.01171875
test,DAGIG_v31_total -> answer F1,DAGIG_v31_total,answer_f1_v2,256,0.010560685135157998,-0.10661516259578002,0.15712843105373758,-0.08627054767369519,,,,-0.03352443004477054,0.035436002867737716,0.1389399653050798
test,search_evidence_only -> evidence_support,DAGIG_v31_search_evidence_only,evidence_support,256,0.6492248314934386,0.5680279058608326,0.704317280840218,0.6115275039950382,0.8927218614718615,0.849803841991342,0.9341068139963168,0.703125,0.057759763353799676,0.65625
test,no_answer -> R@5,DAGIG_v31_no_answer,retrieval_r5,251,0.6702449615919794,0.6031690346414128,0.7373211949950802,0.6335151213555914,0.8912253374870197,0.8493833639464707,0.9301643940359373,0.7419354838709677,0.05917303066927646,0.5737051792828686
test,no_answer -> evidence_support,DAGIG_v31_no_answer,evidence_support,256,0.5549106787538153,0.4687025528331259,0.6393225771755519,0.5391517948440712,0.8372564935064936,0.7851413292589763,0.8797585227272727,0.625,0.05009904959475252,0.65625
